School Code,School Name,TOTAL_Enrollment,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",Total # of Classes,Average Class Size,Number of Students,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,% AP_Score 1-2,% AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
6100305,Overlook Middle School,570,86,15.1,0,0.9,3.3,94.6,0,0,1.2,488,17.6,574,12755.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100005,Westminster Elementary,372,67,18,1.6,0.3,7,88.4,0.3,0,2.4,189,22,376,12755.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8010605,Assabet Valley Vocational High School,1103,248,22.5,0.9,0.7,14.6,81.1,0.5,0,2.3,588,16.2,1072,18673.36,246,95.9,1.6,0,0.8,1.6,0,237,122,51.5,0.8,31.1,40.2,27.9,36.9,19.7,1.6,48,54,45,1,1,1,0,15,22,11,5,1,68.5,31.5,124,439,413,438
6150020,Athol Community Elementary School,577,327,56.7,0.7,1.2,9.9,84.7,0.2,0.2,3.1,91,15.6,203,13694.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150505,Athol High,358,162,45.3,2.8,0.8,5.6,89.7,0,0,1.1,193,13.7,344,13694.87,108,75,10.2,0,0,13.9,0.9,71,42,59.2,0,28.6,35.7,35.7,31,21.4,7.1,78,132,39,24,15,0,0,81,35,12,4,0,87.9,12.1,49,466,456,473
6150305,Athol-Royalston Middle School,387,172,44.4,1.8,0,9.3,85.3,0.3,0,3.4,191,19.2,418,13694.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150050,Royalston Community School,144,54,37.5,2.1,0.7,2.8,93.8,0,0,0.7,63,17.3,157,13694.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4910550,Atlantis Charter School,1111,460,41.4,4.7,1.9,9.9,80,0.1,0,3.4,415,21.7,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160505,Ayer Shirley Regional High School,409,103,25.2,7.8,2.4,10.5,72.9,0.2,0.2,5.9,253,15.4,399,13974.81,90,93.3,1.1,0,0,5.6,0,58,39,67.2,0,12.8,48.7,38.5,48.7,17.9,17.9,32,60,13,12,5,2,0,10,13,18,9,10,38.3,61.7,65,504,481,511
6160305,Ayer Shirley Regional Middle School,395,87,22,4.8,2,10.6,75.2,0.8,0.8,5.8,220,20,397,13974.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160001,Lura A. White Elementary School,389,77,19.8,2.1,2.6,9.8,81.2,0,0.3,4.1,144,22.8,409,13974.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160002,Page Hilltop Elementary School,528,142,26.9,3.2,3.8,11.7,76.5,0.2,0.4,4.2,229,19.2,560,13974.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4270010,Barnstable Community Horace Mann Charter Public School,290,116,40,17.9,3.1,20.7,51.7,1,0.3,5.2,86,21,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200205,Benjamin Banneker Charter Public School,347,171,49.3,79.5,2.6,13.3,2.6,0.9,0,1.2,69,21.3,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
